IEM,RANKING,DRIVERS,SOUND SIGNATURE
ZiiGaat Cincontres,9/10,2DD+3BA,Bassy Neutral/Slight V
Mangird Tea,9/10,1DD+1BA,Dark Neutral/Mids Forward
Aful MagicOne,8/10,1BA,Warm neutral
Ikko OH10,8/10,1DD+1BA,V-shape
Tripowin Olina,7.5/10,1DD,Warm Harman
KZ Castor (Bass),7/10,2DD,V-shape
7HZ Timeless,7/10,1PLANAR,Warm Harman
Final Audio A4000,7/10,1DD,V-shape
Kinera Celest Wyvern Abyss,6.5/10,1DD,Warm/Dark
Kinera Celest Phoenixcall,6/10,1DD+2BA+2MicroPlanar,Treble/Airy/Thin
KZ ZEX pro,6/10,1DD+1BA+1EST????,Harman V
Tripowin Mele,5/10,1DD,Bassy/Warm
Focus EDM,5/10,1DD,Bassy